Feature,Importance
LSTAT,1.042526134798885
RM,0.9666733852433597
DIS,0.1869544707881793
CRIM,0.10665627675765044
NOX,0.04230679864094533
PTRATIO,0.038901233360064125
AGE,0.029078030746590648
TAX,0.025436354328872885
INDUS,0.02354414913517073
B,0.021771857800945017
RAD,0.011457421324547839
ZN,0.003708674682376823
CHAS,0.000985212392412026
